Region,Farm,Codfrm,Date,Latitude,Longitude,Elevation,Collector,Order,Family,Tribe,Genus,Species,Codsp,Common name,Abundance,Report
Los Santos,Emmanuel Solís 2,EMSOL2,2021-03-30T00:00:00Z,9.6605847,-83.974035,1588,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",21,6
Los Santos,Emmanuel Solís 2,EMSOL2,2021-03-30T00:00:00Z,9.6605847,-83.974035,1588,A. Zuñiga,Hymenoptera,Apidae,Xylocopini,Xylocopa,Unknown,XYLSPP,"Chiquizá, carpintera",1,6
Los Santos,Felipe Calderón Zuñiga,FELCAL,2021-03-29T00:00:00Z,9.65622019,-84.0534483,1430,A. Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",2,5
Los Santos,Felipe Calderón Zuñiga,FELCAL,2021-03-29T00:00:00Z,9.65622019,-84.0534483,1430,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1,5
Los Santos,Felipe Calderón Zuñiga,FELCAL,2021-03-29T00:00:00Z,9.65622019,-84.0534483,1430,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1,5
Los Santos,Fernando Badilla,FERBON,2021-05-18T00:00:00Z,9.65003,-83.9514683,1698,R. Montoya/ A.Zuñiga/M.Jimenez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",15,6
Los Santos,Fernando Badilla,FERBON,2021-05-18T00:00:00Z,9.65003,-83.9514683,1698,R. Montoya,Hymenoptera,Apidae,Bombini,Bombus,ephippiatus,BOMEPH,Chiquizá,1,6
Los Santos,Fernando Badilla,FERBON,2021-05-18T00:00:00Z,9.65003,-83.9514683,1698,R. Montoya/  M. Jimenez,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2,6
Los Santos,Fernando Badilla,FERBON,2021-05-18T00:00:00Z,9.65003,-83.9514683,1698,A. Zuñiga,Hymenoptera,Apidae,Xylocopini,Xylocopa,tabaniformis,XYLTAB,"Chiquizá, carpintera",1,6
Los Santos,Francisco Monge Solís,FRAMON,2021-03-30T00:00:00Z,9.7545916,-84.0768107,1506,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",8,6
Los Santos,Francisco Monge Solís,FRAMON,2021-03-30T00:00:00Z,9.7545916,-84.0768107,1506,B. Cordero,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1,6
Los Santos,Freddy Garro,FREGAR,2021-04-02T00:00:00Z,9.75027,-84.051921,1584,A. Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1,6
Los Santos,Freddy Garro,FREGAR,2021-04-02T00:00:00Z,9.75027,-84.051921,1584,R. Montoya/  M. Jimenez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",2,5
Los Santos,Freddy Garro,FREGAR,2021-04-02T00:00:00Z,9.75027,-84.051921,1584,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",5,6
Los Santos,Freddy Garro,FREGAR,2021-04-02T00:00:00Z,9.75027,-84.051921,1584,R. Montoya/  M. Jimenez,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",7,5
Los Santos,Gabriel Ureña,GABURE,2021-04-23T00:00:00Z,9.65142167,-83.94701667,1852,R. Montoya/ A.Zuñiga/M.Jimenez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",18,6
Los Santos,Gabriel Ureña,GABURE,2021-04-23T00:00:00Z,9.65142167,-83.94701667,1852,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1,6
Los Santos,Gabriel Ureña,GABURE,2021-04-23T00:00:00Z,9.65142167,-83.94701667,1852,R. Montoya/  M. Jimenez,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",4,6
Los Santos,Gerardo Fallas,GERFAL,2021-04-05T00:00:00Z,9.633098,-83.9951,1903,A. Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",11,5
Los Santos,Gerardo Fallas,GERFAL,2021-04-05T00:00:00Z,9.633098,-83.9951,1903,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",1,5
Los Santos,Gerardo Fallas,GERFAL,2021-04-05T00:00:00Z,9.633098,-83.9951,1903,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",1,5
