farm_code,region,date,elevation_m,order,family,tribe,genus,species,codsp,common_name,abundance
28,Los Santos,2021-04-23T00:00:00Z,1480,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",4
28,Los Santos,2021-04-23T00:00:00Z,1480,Hymenoptera,Apidae,Bombini,Bombus,ephippiatus,BOMEPH,Chiquizá,1
28,Los Santos,2021-04-23T00:00:00Z,1480,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1
28,Los Santos,2021-04-23T00:00:00Z,1480,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1
29,Los Santos,2021-04-23T00:00:00Z,1432,Diptera,Unknown,Unknown,Unknown,unknown,DIPSPP,Unknown,1
29,Los Santos,2021-04-23T00:00:00Z,1432,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",6
29,Los Santos,2021-04-23T00:00:00Z,1432,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",11
29,Los Santos,2021-04-23T00:00:00Z,1432,Hymenoptera,Halictidae,Unknown,Unknown,unknown,HLCSPP,Unknown,1
30,Los Santos,2021-04-23T00:00:00Z,1556,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",9
30,Los Santos,2021-04-23T00:00:00Z,1556,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2
31,Los Santos,2021-03-30T00:00:00Z,1641,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1
31,Los Santos,2021-03-30T00:00:00Z,1641,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",14
31,Los Santos,2021-03-30T00:00:00Z,1641,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1
32,Los Santos,2021-04-01T00:00:00Z,1417,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",5
32,Los Santos,2021-04-01T00:00:00Z,1417,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",2
32,Los Santos,2021-04-01T00:00:00Z,1417,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",7
33,Los Santos,2021-03-31T00:00:00Z,1607,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",4
33,Los Santos,2021-03-31T00:00:00Z,1607,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",1
33,Los Santos,2021-03-31T00:00:00Z,1607,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",4
48,Pérez Zeledón,2021-03-29T00:00:00Z,700,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",5
48,Pérez Zeledón,2021-03-29T00:00:00Z,700,Hymenoptera,Apidae,Meliponini,Melipona,costaricensis,MELCOS,"Jicote barcino, ocular",1
48,Pérez Zeledón,2021-03-29T00:00:00Z,700,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1
48,Pérez Zeledón,2021-03-29T00:00:00Z,700,Hymenoptera,Apidae,Meliponini,Tetragona,perangulata,TETPER,"Mariolón sin piquera, cebrita",1
48,Pérez Zeledón,2021-03-29T00:00:00Z,700,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",2
48,Pérez Zeledón,2021-03-29T00:00:00Z,700,Hymenoptera,Halictidae,Unknown,Unknown,unknown,HLCSPP,Unknown,1
34,Pérez Zeledón,2021-04-01T00:00:00Z,1506,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",9
34,Pérez Zeledón,2021-04-01T00:00:00Z,1506,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",1
34,Pérez Zeledón,2021-04-01T00:00:00Z,1506,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2
34,Pérez Zeledón,2021-04-01T00:00:00Z,1506,Hymenoptera,Halictidae,Unknown,Unknown,unknown,HLCSPP,Unknown,1
35,Pérez Zeledón,2021-03-31T00:00:00Z,1317,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",20
35,Pérez Zeledón,2021-03-31T00:00:00Z,1317,Hymenoptera,Apidae,Meliponini,Melipona,costaricensis,MELCOS,"Jicote barcino, ocular",2
35,Pérez Zeledón,2021-03-31T00:00:00Z,1317,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",5
35,Pérez Zeledón,2021-03-31T00:00:00Z,1317,Hymenoptera,Apidae,Meliponini,Plebeia,pulchra,PLEPUL,Chupa ojos,1
35,Pérez Zeledón,2021-03-31T00:00:00Z,1317,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",6
35,Pérez Zeledón,2021-03-31T00:00:00Z,1317,Hymenoptera,Halictidae,Unknown,Unknown,unknown,HLCSPP,Unknown,7
36,Pérez Zeledón,2021-03-30T00:00:00Z,1060,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",25
36,Pérez Zeledón,2021-03-30T00:00:00Z,1060,Hymenoptera,Apidae,Meliponini,Oxytrigona,mellicolor,OXYMEL,"Peladora, mea fuego",14
36,Pérez Zeledón,2021-03-30T00:00:00Z,1060,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",6
36,Pérez Zeledón,2021-03-30T00:00:00Z,1060,Hymenoptera,Apidae,Meliponini,Scaura,argyrea,SCAARG,Mariola negra,1
36,Pérez Zeledón,2021-03-30T00:00:00Z,1060,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",6
36,Pérez Zeledón,2021-03-30T00:00:00Z,1060,Hymenoptera,Apidae,Meliponini,Trigonisca,pipioli,TRIPIP,Chupa ojos,1
36,Pérez Zeledón,2021-03-30T00:00:00Z,1060,Hymenoptera,Apidae,Unknown,Unknown,unknown,APISPP,Unknown,1
