family,tribe,genus,species,floral_constancy,social_behavior,nesting_substrate,dist_moure,dist_disc,dist_nat,fc_cleptobiotic,fc_cleptoparasite,fc_polylectic,sb_cleptoparasite,sb_primitive_social,sb_semisocial,sb_communal,sb_social,sb_cleptobiotic,sb_solitary,ns_cavities,ns_dead_tree_trunk,ns_exposed_nests,ns_soil_cavities,ns_soil_galleries,ns_termite_nest,ns_unknown,ns_wood_galleries,dist_Alajuela_moure,dist_Cartago_moure,dist_Guanacaste_moure,dist_Heredia_moure,dist_Limón_moure,dist_Puntarenas_moure,dist_SanJosé_moure,dist_Alajuela_disc,dist_Cartago_disc,dist_Guanacaste_disc,dist_Heredia_disc,dist_Limón_disc,dist_Puntarenas_disc,dist_SanJosé_disc,dist_Alajuela_nat,dist_Cartago_nat,dist_Guanacaste_nat,dist_Heredia_nat,dist_Limón_nat,dist_Puntarenas_nat,dist_SanJosé_nat,dist_Alajuela_all,dist_Cartago_all,dist_Guanacaste_all,dist_Heredia_all,dist_Limón_all,dist_Puntarenas_all,dist_SanJosé_all
Apidae,Meliponini,Tetragonisca,angustula,Polylectic,Social,cavities,"All provinces, except Guanacaste",All provinces,No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Apidae,Meliponini,Tetragonisca,buchwaldi,Polylectic,Social,cavities,Puntarenas,Puntarenas,No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Apidae,Eucerini,Thygater,unknown,Polylectic,Solitary,soil galleries,"Cartago, San José","All provinces, except Alajuela","All provinces, except Cartago",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,cilipes,Polylectic,Social,exposed nests,No record was found,No record was found,Heredia,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Apidae,Meliponini,Trigona,corvina,Polylectic,Social,exposed nests,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,unknown,Polylectic,Social,exposed nests,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,ferricauda,Polylectic,Social,exposed nests,"Cartago, Heredia, Limón","Cartago, Alajuela, Heredia, Limón, Puntarenas","All provinces, except San José",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
Apidae,Meliponini,Trigona,fulviventris,Polylectic,Social,soil cavities,"All provinces, except Heredia",All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,fuscipennis,Polylectic,Social,exposed nests,"Alajuela, Limón, Puntarenas, San José, Guanacaste",All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,nigerrima,Polylectic,Social,exposed nests,"Alajuela, Limón, Puntarenas, San José","All provinces, except Alajuela",All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigona,silvestriana,Polylectic,Social,exposed nests,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Trigonisca,pipioli,Polylectic,Social,cavities,No record was found,"Limón, Puntarenas, Heredia","Puntarenas, Guanacaste, Heredia, Alajuela, Limón",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0
Apidae,Xylocopini,Xylocopa,unknown,Polylectic,Primitive social,wood galleries,"Guanacaste, San José",All provinces,All provinces,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Xylocopini,Xylocopa,tabaniformis,Polylectic,Primitive social,wood galleries,No record was found,"San José,  Heredia, Puntarenas","San José, Puntarenas",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1
